Peak	PeakRanges	Gene	rObs	pvalZ
1162	2474	chr1:171742064-171742074	VAMP4	0.99675210802365	2.59871085761532e-08
1163	2481	chr1:172444068-172444086	PIGC	0.998860645806415	1.11022302462516e-16
1164	2488	chr1:173205557-173207331	TNFSF4	0.999948983496128	0
1165	2499	chr1:173866205-173868882	GAS5	0.927749271900798	3.84581253287664e-07
1166	2502	chr1:173993063-174022297	RC3H1	0.919844793791921	1.52598005009885e-07
1167	2503	chr1:174016205-174016206	RC3H1	0.205427285190783	0.0498871359974774
1168	2504	chr1:174022508-174022509	RC3H1	0.180675274439956	0.0492148983842952
1169	2512	chr1:175023424-175023425	MRPS14	0.999023513826903	1.0031753205908e-11
1170	2514	chr1:175166740-175192943	KIAA0040	0.997313431818185	2.02172278918056e-10
1171	2541	chr1:178871021-178871077	ANGPTL1	0.999965644593308	2.51509923998583e-12
1172	2544	chr1:179143043-179229684	ABL2	0.996425859072923	2.28816965375245e-13
1173	2555	chr1:179877798-179877803	TOR1AIP2	0.999305821877944	0
1174	2564	chr1:180502576-180502954	ACBD6	0.98307915416435	3.54161144855425e-13
1175	2571	chr1:181022869-181023121	STX6	0.998647951027465	1.17661436149774e-12
1176	2585	chr1:182391345-182392206	GLUL	0.998360403197406	6.35696550954634e-09
1177	2589	chr1:182589255-182589256	RNASEL	0.999805187328244	2.72187827832227e-11
1178	2604	chr1:183471728-183471754	SMG7-AS1	1	0
1179	2606	chr1:183590580-183590876	NCF2	0.98949898473106	7.52862207221705e-05
1180	2608	chr1:183635681-183635783	ARPC5	0.959610058044535	0
1181	2621	chr1:184754857-184754907	EDEM3	0.983270229158066	0
1182	2625	chr1:185156952-185156953	TRMT1L	0.997925739313926	2.93609581092369e-12
1183	2627	chr1:185311126-185317243	IVNS1ABP	0.98123360759376	5.27520849225027e-09
1184	2629	chr1:185628491-185628944	LINC01350	1	5.45634574744547e-07
1185	2635	chr1:186375252-186375325	TPR	0.955623809681606	4.6076965795061e-06
1186	2636	chr1:186375837-186375838	TPR	0.135828632565686	0.226688968133874
1187	2641	chr1:186680422-186680423	PTGS2	0.999645766903515	0
1188	2672	chr1:193059348-193059496	UCHL5	0.998538010914117	4.65965044327277e-11
1189	2674	chr1:193105430-193106114	GLRX2	0.999789628692318	4.01678690309382e-13
1190	2676	chr1:193186612-193186613	B3GALT2	1	0
1191	2694	chr1:197135143-197146694	ASPM	1	8.02015120981991e-11
1192	2695	chr1:197200541-197200542	ZBTB41	0.999248345128249	9.54791801177635e-15
1193	2708	chr1:198937420-198937471	MIR181A1HG	0.990650820354478	0
1194	2711	chr1:199021036-199021037	LINC01222	1	7.22039941047914e-06
1195	2717	chr1:200373813-200374688	LINC00862	0.999965644593308	0
1196	2718	chr1:200409991-200410056	ZNF281	0.998976832298039	0
1197	2722	chr1:200669906-200669907	DDX59	0.998372330656565	1.2755064782155e-09
1198	2726	chr1:201023407-201023700	KIF21B	0.998155269599786	7.49400541621981e-14
1199	2731	chr1:201154432-201171574	TMEM9	0.999948983496128	1.25288668328949e-12
1200	2741	chr1:201496572-201509456	CSRP1	0.997599181250884	0
1201	2746	chr1:201829084-201829559	IPO9-AS1	1	1.64301905414277e-12
1202	2750	chr1:201946547-201946588	LMOD1	1	7.66904906246424e-09
1203	2757	chr1:202144736-202144743	ARL8A	0.999240574883683	3.46620795399488e-08
1204	2758	chr1:202159990-202161581	PTPN7	0.995057743711151	1.37404754241288e-10
1205	2765	chr1:202808415-202809470	KDM5B	0.997925739313926	2.19062989970098e-10
1206	2768	chr1:202889148-202889149	RABIF	0.998171692977503	1.94754823379384e-09
1207	2769	chr1:202909160-202927234	KLHL12	0.999140893312203	1.12095555060421e-10
1208	2770	chr1:202958263-202958312	ADIPOR1	0.997925739313926	4.17110790351671e-13
1209	2771	chr1:202967256-202967257	CYB5R1	0.999140893312203	0
1210	2782	chr1:203305308-203305309	LINC01136	0.999948983496128	0
1211	2797	chr1:204141261-204152044	ETNK2	1	1.64301905414277e-12
1212	2805	chr1:204377849-204377850	PPP1R15B	0.120997543676315	0.245052853811568
1213	2806	chr1:204411816-204411817	PPP1R15B	0.988420537964601	0.000271009079683138
1214	2807	chr1:204490345-204490424	PIK3C2B	0.999531470978045	0
1215	2817	chr1:205121977-205122015	RBBP5	0.998538010914117	2.30493402142429e-12
1216	2818	chr1:205173392-205211702	DSTYK	0.996938341698092	5.30975667878408e-08
1217	2821	chr1:205321744-205321760	NUAK2	0.99711997211425	1.11922376266893e-06
1218	2829	chr1:205631961-205631962	ELK4	0.996706379983559	0
1219	2831	chr1:205750181-205750182	NUCKS1	0.942265650302122	3.51489234459157e-05
1220	2832	chr1:205775232-205775482	RAB29	0.996235850187828	2.98902014250757e-11
1221	2834	chr1:205813197-205813198	SLC41A1	0.99957921310992	1.78967951569575e-13
1222	2838	chr1:205935821-205943460	SLC26A9	1	0
1223	2846	chr1:206202418-206204093	FAM72A	0.999948983496128	0
1224	2852	chr1:206612458-206612465	EIF2D	0.996250430713949	0
1225	2860	chr1:206921866-206921998	FCMR	0.950249101143967	6.32458108107414e-09
1226	2864	chr1:207051076-207052980	YOD1	1	1.64301905414277e-12
1227	2884	chr1:208244383-208244384	PLXNA2	0.999965644593308	1.77635683940025e-15
1228	2903	chr1:209784558-209784559	C1orf74	1	0
1229	2904	chr1:209806141-209806175	IRF6	1	1.64301905414277e-12
1230	2905	chr1:209827971-209827972	IRF6	0.497365270696039	4.76000721216785e-06
1231	2922	chr1:211579160-211579161	SLC30A1	0.999895882138299	0
1232	2930	chr1:211830237-211830763	LPGAT1	0.992478520140795	1.85370341854174e-06
1233	2931	chr1:212035519-212035557	INTS7	0.999822899139672	2.40623077019109e-11
1234	2951	chr1:212699839-212699840	BATF3	0.999948983496128	1.86695866688513e-06
1235	2952	chr1:212791580-212791782	NSL1	0.989791373812768	3.43097567911954e-07
1236	2959	chr1:213015825-213015867	ANGEL2	0.996705908650176	2.58126853225349e-13
1237	2980	chr1:216423395-216423448	USH2A	1	7.66904906246424e-09
1238	2982	chr1:217631081-217631090	GPATCH2	0.992043193329265	2.22277751760203e-12
1239	3004	chr1:220046504-220046505	EPRS	0.988342174125319	0
1240	3005	chr1:220089771-220090462	BPNT1	0.999948983496128	1.73250158663762e-09
1241	3007	chr1:220272452-220272453	RAB3GAP2	0.980300406301736	0
1242	3019	chr1:220880139-220880140	HLX-AS1	0.999965644593308	0
1243	3024	chr1:221742088-221742089	DUSP10	0.999509189261802	1.40336658560614e-06
1244	3033	chr1:222589784-222589933	TAF1A	0.999862571290494	0
1245	3037	chr1:222712427-222712491	AIDA	0.994528222862022	1.8322010575389e-12
1246	3044	chr1:223137286-223143248	TLR5	0.998604153604755	8.06842606526637e-06
1247	3047	chr1:223364058-223364178	SUSD4	0.999645766903515	4.64073224293315e-14
1248	3051	chr1:223845929-223845947	TP53BP2	0.994988942281963	0
1249	3057	chr1:224330120-224330189	NVL	0.988876472329633	0
1250	3059	chr1:224434298-224434794	WDR26	0.985968370670906	1.64746217778955e-08
1251	3067	chr1:225428037-225428855	LBR	0.991803699867597	0
1252	3075	chr1:225846521-225846522	TMEM63A	0.113502748510171	0.198436099582583
1253	3076	chr1:225866747-225882380	TMEM63A	0.973261576813518	1.05307274900213e-07
1254	3078	chr1:225924109-225924340	PYCR2	0.998538010914117	4.38706793115529e-09
1255	3081	chr1:225999342-225999343	SDE2	0.99822724390104	2.22044604925031e-16
1256	3086	chr1:226186740-226186741	ACBD3	0.992384623894839	1.11022302462516e-16
1257	3088	chr1:226309253-226309733	LIN9	0.999380009683106	1.19276046850469e-06
1258	3089	chr1:226407981-226408093	PARP1	0.984952427606257	0
1259	3094	chr1:226737457-226739323	ITPKB	0.940202045819515	1.81518430286687e-07
1260	3102	chr1:227317181-227318474	CDC42BPA	1	1.64301905414277e-12
1261	3107	chr1:227735282-227735411	JMJD4	0.999948983496128	5.59261384869281e-07
1262	3115	chr1:228103324-228103325	C1orf35	0.99653188902622	4.41202629986037e-13
1263	3116	chr1:228108324-228109312	MRPL55	0.999380009683106	6.08314842942548e-10
1264	3130	chr1:228405903-228406835	TRIM11	0.999739685014462	3.27531766396438e-05
1265	3134	chr1:228457872-228457873	HIST3H2A	0.999862571290494	2.63078447915177e-11
1266	3145	chr1:229319402-229319403	CCSAP	0.288365707389123	0.116349599895541
1267	3146	chr1:229340632-229343047	CCSAP	0.999789628692318	1.68326771632366e-07
1268	3149	chr1:229508340-229508341	NUP133	0.998172086617056	2.22044604925031e-16
1269	3151	chr1:229558706-229558707	ABCB10	0.999677921511856	0
1270	3152	chr1:229614481-229626047	TAF5L	0.999895882138299	0
1271	3159	chr1:230377644-230426332	PGBD5	0.999948983496128	2.42305795428166e-08
1272	3172	chr1:230978858-230978861	TTC13	0.997220375512909	2.40918396343659e-13
1273	3177	chr1:231241169-231241178	C1orf131	0.992533412046904	0
1274	3180	chr1:231337851-231337852	EXOC8	0.999948983496128	0
1275	3181	chr1:231422286-231422287	EGLN1	0.996715738076598	2.79898326738248e-11
1276	3190	chr1:232462416-232561558	SIPA1L2	0.999895882138299	1.11817888281962e-10
1277	3196	chr1:233058517-233295725	PCNX2	0.989299410330317	0
1278	3211	chr1:234479178-234479179	TARBP1	0.992361672099252	6.66133814775094e-16
1279	3217	chr1:234609524-234609525	IRF2BP2	0.987981590245363	0
1280	3232	chr1:235128836-235128837	TOMM20	0.982999669895386	1.20294885164185e-11
1281	3233	chr1:235161249-235161250	RBM34	1	0
1282	3238	chr1:235504421-235504452	B3GALNT2	0.999895882138299	3.33932881346755e-12
1283	3244	chr1:236065089-236065109	NID1	0.99957921310992	4.8917536688009e-12
1284	3247	chr1:236281957-236281958	ERO1B	0.976950701814205	0
1285	3253	chr1:236604487-236604516	HEATR1	0.997076859743061	1.66533453693773e-15
1286	3269	chr1:239704153-239730465	CHRM3-AS2	0.995549100492504	2.49506726390791e-09
1287	3285	chr1:241519760-241519761	FH	0.999948983496128	0
1288	3287	chr1:241640253-241640254	CHML	0.99957921310992	3.1251541072197e-05
1289	3299	chr1:243156820-243255321	CEP170	0.990132926538758	3.23816529290699e-06
1290	3313	chr1:244409591-244409592	ADSS	0.0273662545103885	0.443592043021143
1291	3314	chr1:244451908-244451909	ADSS	0.990460011284024	2.14998019387735e-11
1292	3315	chr1:244461272-244461388	ADSS	0.0203341659586294	0.414855342804377
1293	3321	chr1:244860535-244864560	HNRNPU	0.911220356042181	9.50328282733892e-08
1294	3334	chr1:246566260-246566261	TFB2M	0.998860645806415	0
1295	3342	chr1:246931362-246931967	AHCTF1	0.985941770603035	4.52720083643499e-11
1296	3344	chr1:247078810-247078811	ZNF670	1	0
1297	3345	chr1:247104277-247104372	ZNF669	0.999862571290494	3.88578058618805e-15
1298	3348	chr1:247171966-247172016	ZNF124	0.996683428338311	2.84453571808285e-11
1299	3351	chr1:247331742-247331743	ZNF496	0.99924066910443	0
1300	3405	chr1:248825914-248825915	SH3BP5L	0.999862571290494	0
1301	3407	chr1:248858859-248859085	ZNF692	1	1.64301905414277e-12
1302	3413	chr2:264868-264947	ACP1	0.993897112290296	6.12482653483681e-09
1303	3459	chr2:3377789-3377882	TRAPPC12	0.150768167915966	0.249966263829412
1304	3460	chr2:3379674-3379694	TRAPPC12	0.99370603614776	8.4273216083286e-07
1305	3467	chr2:3558473-3558474	RNASEH1-AS1	0.999948983496128	0
1306	3469	chr2:3575259-3575358	RPS7	0.872267189732093	0.0425309746490578
1307	3494	chr2:6877776-6877777	RSAD2	0.997473524369535	0
1308	3496	chr2:6917411-6917412	RNF144A	0.98568393944424	0
1309	3513	chr2:8678844-8682056	ID2	0.988138091578745	4.09983017723992e-05
1310	3520	chr2:9206764-9206812	ASAP2	0.99957921310992	0.000191508878892521
1311	3522	chr2:9423653-9423884	CPSF3	0.99957921310992	2.06810124581125e-11
1312	3523	chr2:9473817-9474551	IAH1	0.997660657288424	1.26954002865887e-12
1313	3531	chr2:9843442-9843474	TAF1B	0.996850457186353	1.02118313805022e-12
1314	3538	chr2:10043549-10044245	KLF11	0.999140893312203	1.35110811427808e-11
1315	3542	chr2:10120697-10141883	RRM2	0.999795939189879	1.31618715926152e-10
1316	3544	chr2:10302903-10368764	HPCAL1	0.967373905859093	0
1317	3551	chr2:10721629-10722772	ATP6V1C2	1	1.64301905414277e-12
1318	3566	chr2:11534044-11612259	GREB1	1	0
1319	3569	chr2:11677594-11746588	LPIN1	0.984621387246475	7.84237208506511e-08
1320	3577	chr2:12716888-12718238	TRIB2	0.999140893312203	3.17679215156019e-08
1321	3587	chr2:15561333-15561334	DDX1	0.107466618270085	0.307220122336463
1322	3589	chr2:15591177-15599153	DDX1	0.988739713741362	0
1323	3612	chr2:17753857-17754138	GEN1	0.999687635573238	1.56243906701548e-09
1324	3627	chr2:19868859-19881446	LINC00954	0.9994631448585	0
1325	3638	chr2:20447073-20447074	RHOB	0.997415477276538	2.96140445499304e-09
1326	3644	chr2:20667143-20667144	GDF7	1	0
1327	3665	chr2:23385178-23385179	KLHL29	0.998860645806415	0
1328	3669	chr2:23927311-23940463	UBXN2A	0.988377291504679	4.18199008755948e-09
1329	3674	chr2:24076881-24124362	FAM228B	0.996902553778297	1.81452297631779e-10
1330	3683	chr2:24491931-24584541	NCOA1	0.93777957281219	2.96809021804734e-10
1331	3684	chr2:24793144-24793462	CENPO	0.999948983496128	0
1332	3689	chr2:24972125-24972126	DNAJC27-AS1	0.999862571290494	2.13435835672016e-09
1333	3691	chr2:25042075-25115988	EFR3B	1	1.64301905414277e-12
1334	3700	chr2:26034083-26034084	RAB10	0.95240125422571	0.000129827575915176
1335	3701	chr2:26173087-26180716	GAREM2	0.999948983496128	0
1336	3703	chr2:26244747-26261021	HADHB	0.979963249327233	5.00044450291171e-13
1337	3707	chr2:26401919-26401920	DRC1	1	0
1338	3713	chr2:26764283-26764284	SLC35F6	0.999862571290494	3.22497720879333e-05
1339	3714	chr2:26786055-26786068	CENPA	0.999739685014462	5.36237720893951e-14
1340	3716	chr2:26970636-27014799	MAPRE3	0.999862571290494	3.01849573480784e-06
1341	3719	chr2:27032964-27032977	TMEM214	0.999862571290494	0.00102453450888962
1342	3721	chr2:27051667-27051678	AGBL5	0.999380009683106	4.94657262040121e-07
1343	3727	chr2:27086746-27086772	KHK	0.999948983496128	7.69101848874243e-09
1344	3734	chr2:27212026-27212370	ATRAID	0.996879509035558	3.89794196919979e-10
1345	3735	chr2:27217368-27217408	CAD	1	0
1346	3738	chr2:27282391-27282462	TRIM54	1	5.45634574744547e-07
1347	3745	chr2:27370495-27370616	SNX17	0.995224423518723	0
1348	3748	chr2:27427789-27428653	NRBP1	0.990259815515329	0
1349	3754	chr2:27582968-27583042	ZNF512	0.997860065448896	0
1350	3755	chr2:27628246-27629050	GPN1	0.999008034356846	1.04254826993611e-10
1351	3757	chr2:27663470-27663889	SLC4A1AP	0.9994631448585	6.32827124036339e-15
1352	3760	chr2:27771716-27771719	MRPL33	0.98815355363168	0
1353	3764	chr2:28392801-28392858	FOSL2	0.983991516672796	1.48469520122596e-07
1354	3765	chr2:28394671-28394672	FOSL2	0.157908698159333	0.139007640001287
1355	3766	chr2:28396814-28396815	FOSL2	0.1865853143502	0.138115087598765
1356	3769	chr2:28496059-28496071	PLB1	0.999895882138299	6.03867597037677e-07
1357	3771	chr2:28736265-28751722	PPP1CB	0.185357993183411	0.06657500440983
1358	3772	chr2:28751747-28751830	PPP1CB	0.941620930884717	0.000163108676986434
1359	3774	chr2:28810818-28810834	SPDYA	1	1.64301905414277e-12
1360	3776	chr2:28894666-28894667	WDR43	0.96692013742081	3.89254843136122e-07
1361	3780	chr2:29097704-29115415	CLIP4	0.980559763613342	3.79518638737864e-12
1362	3786	chr2:30146940-30147516	YPEL5	0.957866192883264	1.7603315904946e-07
1363	3787	chr2:30231533-30232180	LBH	0.983031194889625	3.73029607203534e-09
1364	3790	chr2:30447235-30447257	LCLAT1	0.994465596741299	4.86781726038998e-11
1365	3796	chr2:31234151-31234152	EHD3	1	0
1366	3805	chr2:32063546-32063970	SPAST	0.992989528972187	0
1367	3807	chr2:32165840-32165869	SLC30A6	0.999086603750511	0
1368	3809	chr2:32277903-32277904	YIPF4	0.959370471604496	0
1369	3810	chr2:32321637-32321638	BIRC6	0.112463940445544	0.253787793533073
1370	3811	chr2:32357027-32357028	BIRC6	0.871370684424415	4.85384474835371e-08
1371	3816	chr2:32628049-32628050	TTC27	0.994622686064404	0
1372	3817	chr2:32825358-32841014	LINC00486	0.941402132544877	2.96262530063984e-08
1373	3821	chr2:33436323-33513875	RASGRP3	0.99940344019238	1.72117875507638e-12
1374	3833	chr2:36355777-36355778	CRIM1	0.999739685014462	0
1375	3839	chr2:37084450-37084518	GPATCH11	0.998643855811149	7.91167131808379e-12
1376	3842	chr2:37196487-37196523	CEBPZOS	0.997458060098534	2.74225087082414e-14
1377	3843	chr2:37208874-37208875	NDUFAF7	0.354286340529552	0.000943403017320099
1378	3845	chr2:37231657-37231679	NDUFAF7	0.999141100981972	1.00797048485646e-08
1379	3849	chr2:37344629-37344630	QPCT	1	0
1380	3855	chr2:37925286-37950501	RMDN2	0.999817798823812	2.34223751505169e-12
1381	3857	chr2:38074872-38108073	CYP1B1-AS1	0.999965644593308	4.56279669602822e-09
1382	3868	chr2:38666113-38666117	GALM	0.996624337289283	1.00815083097228e-05
1383	3871	chr2:38751533-38778210	GEMIN6	0.999687635573238	2.22044604925031e-16
1384	3897	chr2:42169352-42169461	EML4	0.925898882496034	0.000992505669556776
1385	3898	chr2:42170230-42170301	EML4	0.176684039347917	0.0799724110262481
1386	3901	chr2:42494568-42568746	MTA3	0.993736335087929	0
1387	3909	chr2:43219848-43219849	LINC01126	0.38517102432453	0.00582446794003011
1388	3911	chr2:43227209-43227210	LINC01126	0.999948983496128	0
1389	3914	chr2:43637259-43637260	PLEKHH2	0.999948983496128	0
1390	3916	chr2:43774038-43774082	DYNC2LI1	1	1.64301905414277e-12
1391	3921	chr2:44168874-44168910	PPM1B	0.968629918604309	4.32598401545192e-12
1392	3922	chr2:44275457-44303806	SLC3A1	1	5.45634574744547e-07
1393	3946	chr2:46542489-46542490	RHOQ	0.995842854523525	1.53243384648505e-09
1394	3947	chr2:46580237-46580238	RHOQ	0.414176127602132	0.00161197801203106
1395	3949	chr2:46617214-46617215	CRIPT	0.998538010914117	4.44089209850063e-16
1396	3951	chr2:46698951-46699295	SOCS5	1	2.22044604925031e-15
1397	3956	chr2:46916156-46941286	TTC7A	0.988611065802993	1.19658808337419e-05
1398	3965	chr2:47402968-47403130	MSH2	0.996340112217071	2.36170663026058e-08
1399	3968	chr2:47695818-47783955	MSH6	0.99592595396047	0
1400	3972	chr2:48314681-48346217	FOXN2	0.958798491594499	1.08980001326531e-05
1401	3973	chr2:48440596-48440597	PPP1R21	0.0952420197044215	0.255615554801752
1402	3974	chr2:48440765-48440769	PPP1R21	0.977872333082991	3.12192494078545e-11
1403	3975	chr2:48529545-48530186	STON1	1	0
1404	3994	chr2:53767803-53767804	CHAC2	1	0
1405	3996	chr2:53787043-53787080	ERLEC1	0.997925739313926	0
1406	4007	chr2:54724541-54724542	EML6	1	0
1407	4012	chr2:55231902-55232678	RPS27A	0.766757205249336	0.220678121426223
1408	4017	chr2:55519603-55519731	CFAP36	0.997760355531002	0
1409	4044	chr2:60756267-60756268	PAPOLG	0.996110327464855	0
1410	4046	chr2:60881520-60881656	REL	0.957024599747689	2.31492420821322e-06
1411	4049	chr2:61017224-61017730	PEX13	0.999033660767595	3.85114162781974e-11
1412	4050	chr2:61065870-61070326	KIAA1841	0.999248414349016	1.18227153622641e-08
1413	4051	chr2:61144890-61144950	C2orf74	0.0911571556307874	0.376379194883856
1414	4052	chr2:61145067-61162494	C2orf74	0.996474547018642	0
1415	4063	chr2:61905646-61905647	COMMD1	0.980534583516298	2.4426149991541e-10
1416	4064	chr2:62146880-62146881	B3GNT2	0.157986136142401	0.221171995193226
1417	4065	chr2:62196114-62215518	B3GNT2	0.997302619840548	2.10527284016937e-06
1418	4069	chr2:62673850-62707192	EHBP1	0.968220159200778	0
1419	4076	chr2:63588608-63588973	MDH1	0.991173793126555	4.01012556494607e-13
1420	4077	chr2:63840939-63855419	UGP2	0.992685957873202	3.14304138271382e-13
1421	4089	chr2:64524304-64569173	AFTPH	0.976920427752819	0
1422	4095	chr2:64905136-65056168	SLC1A4	0.219150700536609	0.127814011562876
1423	4096	chr2:64988489-64989399	SLC1A4	0.999531470978045	6.23845849386795e-05
1424	4097	chr2:65030746-65030747	SLC1A4	0.331542851743723	0.0128544881353037
1425	4098	chr2:65056415-65056465	CEP68	0.995061241304501	0
1426	4100	chr2:65227752-65228176	ACTR2	0.913054121787799	7.38040895065240e-09
1427	4111	chr2:66435124-66439321	MEIS1	1	1.64301905414277e-12
1428	4121	chr2:67397323-67397333	ETAA1	0.999862571290494	0.0939336773756754
1429	4128	chr2:68157887-68157888	PNO1	0.99975950861215	5.78491810010462e-10
1430	4133	chr2:68365281-68365282	PLEK	0.976962415179415	3.59719290765614e-06
1431	4151	chr2:69829659-69829660	GMCL1	0.997689301100064	1.04749542373384e-12
1432	4152	chr2:69893955-69893959	SNRNP27	0.99670719438956	7.54618589837719e-13
1433	4153	chr2:69915040-69915109	MXD1	0.984818937808071	2.04166518580351e-07
1434	4156	chr2:70087476-70087477	PCBP1	0.934980721109745	3.33066907387547e-16
1435	4161	chr2:70258136-70258149	PCYOX1	0.999948983496128	0
1436	4180	chr2:71064742-71064743	NAGK	0.232448237698489	0.0773424205232569
1437	4182	chr2:71068277-71068648	NAGK	0.993627428100263	3.32770078159683e-08
1438	4185	chr2:71130631-71130634	MPHOSPH10	0.994877039423977	0
1439	4187	chr2:71276592-71331782	ZNF638	0.92174284671273	1.10110841511357e-06
1440	4189	chr2:71453721-71466702	DYSF	0.995997976803578	3.6052880346471e-05
1441	4199	chr2:73214244-73214267	SMYD5	0.999140893312203	4.5674264370632e-09
1442	4201	chr2:73234235-73239545	CCT7	0.985016095331232	1.79617432038981e-11
1443	4206	chr2:73385757-73385869	ALMS1	0.998320737690054	0
1444	4215	chr2:73828915-73829031	STAMBP	0.996210974737165	3.01301206206972e-11
1445	4217	chr2:73892966-73893008	ACTG2	1	0
1446	4218	chr2:73926825-73926880	DGUOK	0.988523737852714	1.03272945750632e-12
1447	4221	chr2:73986403-74002713	TET3	0.981639044349672	4.29181203687179e-06
1448	4227	chr2:74198609-74198616	MTHFD2	0.997158145105625	3.34028360526872e-11
1449	4233	chr2:74421728-74421730	WDR54	0.999140893312203	2.47946108089536e-12
1450	4235	chr2:74455086-74455102	INO80B	0.998538010914117	5.94154725419571e-11
1451	4236	chr2:74458399-74458469	WBP1	0.999140893312203	1.8489629161067e-08
1452	4237	chr2:74465338-74465339	TTC31	0.206272398039867	0.0878406443898173
1453	4241	chr2:74483080-74483087	TTC31	0.9994631448585	4.88498130835069e-15
1454	4248	chr2:74529376-74529990	HTRA2	0.99879545684129	0
1455	4250	chr2:74549025-74554731	DOK1	0.997118718366446	2.20543316942212e-08
1456	4253	chr2:74654227-74654280	SEMA4F	0.999948983496128	5.09560466488423e-07
1457	4256	chr2:74833980-74835170	HK2	0.998320737690054	4.23810975203054e-09
1458	4258	chr2:74918147-74931428	LINC01291	1	7.66904906246424e-09
1459	4261	chr2:74958642-74958643	POLE4	0.995712470016571	2.70363065268953e-10
1460	4267	chr2:75646782-75646803	MRPL19	0.999335548099395	0
1461	4311	chr2:84905655-84905656	TMSB10	0.794906764857339	0.00663420496505562
1462	4313	chr2:84971160-84971161	KCMF1	0.981575934229712	1.08460240788588e-10
1463	4319	chr2:85354752-85355075	ELMOD3	0.997742748629553	4.92272321794829e-08
1464	4325	chr2:85539167-85539642	MAT2A	0.992678225749747	1.97699634441051e-11
1465	4327	chr2:85561561-85577593	VAMP8	0.956082840296892	1.00901487165572e-09
1466	4328	chr2:85584430-85584431	VAMP5	0.990587330127177	1.3017142919125e-11
1467	4329	chr2:85595724-85595745	RNF181	0.994349495487796	2.92040744042099e-05
1468	4332	chr2:85612102-85616194	USP39	0.997925739313926	0
1469	4334	chr2:85694290-85694426	GNLY	0.998661996338766	0.0356909467005919
1470	4338	chr2:85889150-85889151	ST3GAL5-AS1	0.999948983496128	0
1471	4342	chr2:86106234-86106248	PTCD3	0.993461863940222	5.76533842588933e-06
1472	4345	chr2:86199354-86199463	MRPL35	0.997118718366446	1.31380445411722e-08
1473	4347	chr2:86440800-86441461	KDM3A	0.993234102631917	0
1474	4351	chr2:86720290-86720291	RMND5A	0.995746810634209	0
1475	4354	chr2:86907952-86942237	RGPD1	1	5.45634574744547e-07
1476	4363	chr2:87748086-87748087	PLGLB2	0.999948983496128	0
1477	4376	chr2:88691672-88691673	RPIA	0.997760355531002	0
1478	4466	chr2:95025707-95025793	MAL	0.988872912576732	2.22900099000611e-06
1479	4472	chr2:95165431-95165817	ZNF2	1	7.66904906246424e-09
1480	4476	chr2:95402707-95402723	FAHD2A	0.999948983496128	2.02214960876024e-06
1481	4489	chr2:96208406-96208407	STARD7-AS1	0.999645766903515	5.64548408021892e-13
1482	4492	chr2:96266224-96266225	CIAO1	0.985860226223095	6.60953972664302e-07
1483	4496	chr2:96335765-96335818	NCAPH	0.999948983496128	6.63632282460469e-09
1484	4499	chr2:96536751-96537345	ARID5A	0.995927494209241	0
1485	4503	chr2:96760901-96760902	CNNM4	0.999948983496128	2.03268180065663e-10
1486	4505	chr2:96816244-96816268	CNNM3	0.999739685014462	2.09288142372088e-12
1487	4515	chr2:97113217-97113657	ANKRD36	0.976552885960693	1.26065824446187e-12
1488	4530	chr2:97646061-97646062	COX5B	0.97271348936448	0.000715555343378194
1489	4533	chr2:97713559-97734406	ZAP70	0.99212225779152	5.89750470680883e-13
1490	4539	chr2:98444853-98520049	INPP4A	0.942249257278159	0
1491	4541	chr2:98608578-98608844	UNC50	0.998538010914117	0
1492	4547	chr2:99141484-99141750	C2orf15	1	0
1493	4548	chr2:99154954-99154967	LIPT1	0.999479389008178	5.1834980752119e-11
1494	4550	chr2:99181183-99181186	MRPL30	0.999380009683106	0
1495	4554	chr2:99337370-99337389	EIF5B	0.96948088351991	1.34917849670124e-07
1496	4563	chr2:100562992-100562993	PDCL3	0.999739685014462	5.61772850460329e-14
1497	4569	chr2:100820138-100820139	NPAS2	0.999895882138299	0
1498	4572	chr2:101002228-101002691	RPL31	0.81039687227207	0.0539889386737796
1499	4576	chr2:101252885-101252886	CNOT11	0.997925739313926	2.26713104523046e-06
1500	4583	chr2:101697702-101698081	MAP4K4	0.94696319040237	0.000817226193843612
1501	4584	chr2:101962055-101962056	LINC01127	1	0
1502	4587	chr2:102070375-102142786	IL1R1	1	0
1503	4592	chr2:102418688-102419686	IL18RAP	0.999684448572234	0.000179767667488395
1504	4598	chr2:102736904-102762031	TMEM182	0.999739706701166	0
1505	4623	chr2:105038068-105038069	MRPS9	0.993997807097723	0
1506	4624	chr2:105038495-105038496	MRPS9	0.166204455248824	0.12901206593237
1507	4632	chr2:105337531-105337540	C2orf49	0.998757469796437	0
1508	4665	chr2:108448560-108448561	GCC2	0.928906773040234	0.000402975494240843
1509	4669	chr2:108719481-108719607	RANBP2	0.951091814800465	0
1510	4670	chr2:108786756-108786771	CCDC138	0.998256468680182	0.000305530339323457
1511	4673	chr2:109129204-109129205	SH3RF3	0.994259309214329	7.39075467492967e-13
1512	4678	chr2:109792757-109794305	RGPD5	1	0
1513	4691	chr2:110732572-110732634	ACOXL	0.999948983496128	0
1514	4693	chr2:111120913-111123746	BCL2L11	0.999140893312203	0
1515	4705	chr2:111898606-111898629	MERTK	0.999862571290494	0
1516	4706	chr2:112055268-112095189	TMEM87B	0.981898898131066	2.38833397503413e-11
